Districts,Q2-15 Total Number of Stores,Q2-15 Franchise Stores,Q2-15 General Stores,Q2-16 Total Number of Stores,Q2-16 Franchise Stores,Q2-16 General Stores,Q2-17 Total Number of Stores,Q2-17 Franchise Stores,Q2-17 General Stores,Q2-18 Total Number of Stores,Q2-18 Franchise Stores,Q2-18 General Stores,Q2-19 Total Number of Stores,Q2-19 Franchise Stores,Q2-19 General Stores,Q2-15 Long-lived Population (persons per ha),Q2-15 Permanent Population of Building Units (persons per ha),Q2-15 Residential Population (persons per ha),Q2-15 Work Population (persons per ha),Q2-16 Long-lived Population (persons per ha),Q2-16 Permanent Population of Building Units (persons per ha),Q2-16 Residential Population (persons per ha),Q2-16 Work Population (persons per ha),Q2-17 Long-lived Population (persons per ha),Q2-17 Permanent Population of Building Units (persons per ha),Q2-17 Residential Population (persons per ha),Q2-17 Work Population (persons per ha),Q2-18 Long-lived Population (persons per ha),Q2-18 Permanent Population of Building Units (persons per ha),Q2-18 Residential Population (persons per ha),Q2-18 Work Population (persons per ha),Q2-19 Long-lived Population (persons per ha),Q2-19 Permanent Population of Building Units (persons per ha),Q2-19 Residential Population (persons per ha),Q2-19 Work Population (persons per ha),Q2-15 Number of Households,Q2-16 Number of Households,Q2-17 Number of Households,Q2-18 Number of Households,Q2-19 Number of Households,Q2-15 Monthly rent per 3.3 meters squared (KRW),Q2-16 Monthly rent per 3.3 meters squared (KRW),Q2-17 Monthly rent per 3.3 meters squared (KRW),Q2-18 Monthly rent per 3.3 meters squared (KRW),Q2-19 Monthly rent per 3.3 meters squared (KRW),Q2-15 Business Openings,Q2-15 Business Closing,Q2-15 Opening Rate (Percent),Q2-15 Closing Rate (Percent),Q2-16 Business Openings,Q2-16 Business Closing,Q2-16 Opening Rate (Percent),Q2-16 Closing Rate (Percent),Q2-17 Business Openings,Q2-17 Business Closing,Q2-17 Opening Rate (Percent),Q2-17 Closing Rate (Percent),Q2-18 Business Openings,Q2-18 Business Closing,Q2-18 Opening Rate (Percent),Q2-18 Closing Rate (Percent),Q2-19 Business Openings,Q2-19 Business Closing,Q2-19 Opening Rate (Percent),Q2-19 Closing Rate (Percent),,,,,
Seoul (Overall),572646.0,39103.0,533543.0,576804.0,40746.0,536058.0,581955.0,42004.0,539951.0,572956.0,41731.0,531225.0,563435.0,40773.0,522662.0,,,151.0,74.0,,,145.0,77.0,38062.0,80998.0,163.0,79.0,37954.0,80300.0,160.0,81.0,36720.0,78098.0,160.0,83.0,3814226.0,3797086.0,4201643.0,4194825.0,4231225.0,95907.0,99618.0,107896.0,115438.0,117827.0,7855.0,7672.0,5.4,5.3,8000.0,7353.0,5.5,5.1,7576.0,7232.0,5.3,5.0,6126.0,6785.0,4.3,4.8,6267.0,6380.0,4.4,4.5,,,,,
Jongno-gu,25328.0,1340.0,23988.0,25260.0,1396.0,23864.0,25385.0,1426.0,23959.0,25108.0,1415.0,23693.0,24850.0,1375.0,23475.0,,,64.0,117.0,,,62.0,125.0,23153.0,63926.0,65.0,132.0,22528.0,59669.0,64.0,130.0,21573.0,57558.0,64.0,129.0,71503.0,69626.0,73051.0,72651.0,73303.0,149187.0,145988.0,178383.0,180495.0,191292.0,320.0,270.0,4.5,3.8,309.0,294.0,4.3,4.1,304.0,287.0,4.3,4.1,298.0,324.0,4.3,4.6,259.0,259.0,3.7,3.7,,,,,
Jung-gu,43103.0,1656.0,41447.0,43013.0,1704.0,41309.0,42893.0,1744.0,41149.0,41218.0,1765.0,39453.0,39181.0,1709.0,37472.0,,,116.0,502.0,,,110.0,517.0,52689.0,146352.0,125.0,502.0,51879.0,140017.0,120.0,508.0,50545.0,139797.0,120.0,531.0,55623.0,53243.0,59373.0,58223.0,58403.0,191428.0,197421.0,213080.0,216588.0,214810.0,221.0,246.0,3.3,3.6,256.0,236.0,3.8,3.5,290.0,274.0,4.3,4.1,223.0,264.0,3.4,4.0,229.0,227.0,3.4,3.4,,,,,
Yongsan-gu,18978.0,973.0,18005.0,19089.0,1041.0,18048.0,19084.0,1046.0,18038.0,18911.0,1051.0,17860.0,18593.0,1026.0,17567.0,,,101.0,65.0,,,97.0,72.0,26946.0,59415.0,107.0,76.0,26502.0,59079.0,106.0,82.0,26079.0,57808.0,106.0,83.0,98008.0,96091.0,106534.0,106244.0,107029.0,99730.0,98958.0,110410.0,110597.0,116938.0,254.0,211.0,5.4,4.5,249.0,224.0,5.1,4.6,254.0,226.0,5.1,4.5,220.0,233.0,4.4,4.7,185.0,205.0,3.7,4.1,,,,,
Seongdong-gu,15712.0,1051.0,14661.0,15953.0,1108.0,14845.0,16422.0,1159.0,15263.0,16505.0,1187.0,15318.0,16417.0,1174.0,15243.0,,,158.0,97.0,,,150.0,101.0,38739.0,90786.0,183.0,108.0,39429.0,91745.0,184.0,114.0,39011.0,90981.0,186.0,116.0,111810.0,108776.0,130982.0,133950.0,136930.0,79230.0,87878.0,93656.0,105914.0,106550.0,190.0,181.0,5.1,4.8,226.0,177.0,5.9,4.7,210.0,155.0,5.4,4.0,199.0,177.0,5.0,4.5,203.0,163.0,5.0,4.0,,,,,
Gwangjin-gu,18906.0,1462.0,17444.0,19094.0,1531.0,17563.0,19188.0,1558.0,17630.0,18946.0,1506.0,17440.0,18640.0,1462.0,17178.0,,,201.0,42.0,,,197.0,45.0,52845.0,98336.0,201.0,46.0,54382.0,100621.0,199.0,45.0,52209.0,96502.0,201.0,46.0,155644.0,154810.0,158566.0,160030.0,162119.0,83530.0,90241.0,95163.0,91566.0,99520.0,284.0,273.0,5.5,5.2,310.0,289.0,5.9,5.5,261.0,267.0,5.0,5.2,225.0,258.0,4.4,5.1,210.0,217.0,4.1,4.2,,,,,
Dongdaemun-gu,22395.0,1335.0,21060.0,22360.0,1393.0,20967.0,22262.0,1411.0,20851.0,21782.0,1366.0,20416.0,21184.0,1334.0,19850.0,,,234.0,58.0,,,222.0,61.0,70261.0,120516.0,243.0,63.0,70361.0,120896.0,237.0,63.0,66651.0,116013.0,237.0,65.0,149304.0,146574.0,159490.0,158664.0,159751.0,75951.0,73394.0,77662.0,99316.0,92872.0,290.0,274.0,5.4,5.1,261.0,244.0,4.9,4.6,227.0,246.0,4.3,4.7,211.0,249.0,4.2,4.9,207.0,210.0,4.1,4.2,,,,,
Jungnang-gu,16543.0,1123.0,15420.0,16624.0,1154.0,15470.0,16580.0,1173.0,15407.0,16230.0,1176.0,15054.0,16033.0,1161.0,14872.0,,,214.0,27.0,,,208.0,28.0,53560.0,91360.0,224.0,28.0,53171.0,90641.0,219.0,29.0,51034.0,87301.0,220.0,29.0,164981.0,164930.0,177928.0,177924.0,179738.0,64429.0,70002.0,75524.0,70544.0,78050.0,276.0,286.0,6.0,6.3,252.0,236.0,5.5,5.2,211.0,256.0,4.8,5.8,212.0,219.0,4.9,5.0,192.0,209.0,4.4,4.8,,,,,
Seongbuk-gu,17920.0,1432.0,16488.0,17879.0,1467.0,16412.0,17782.0,1494.0,16288.0,17489.0,1473.0,16016.0,17133.0,1437.0,15696.0,,,160.0,23.0,,,152.0,25.0,44600.0,82745.0,181.0,26.0,43877.0,82171.0,177.0,27.0,42880.0,79920.0,176.0,28.0,167084.0,161607.0,188014.0,185478.0,185793.0,77528.0,78722.0,82331.0,91099.0,93962.0,283.0,283.0,5.7,5.7,251.0,263.0,5.1,5.3,217.0,199.0,4.4,4.0,224.0,256.0,4.6,5.3,217.0,230.0,4.5,4.7,,,,,
Gangbuk-gu,13618.0,896.0,12722.0,13684.0,949.0,12735.0,13766.0,993.0,12773.0,13487.0,1001.0,12486.0,13240.0,984.0,12256.0,,,132.0,13.0,,,126.0,14.0,37390.0,62328.0,138.0,15.0,36989.0,61814.0,136.0,15.0,35157.0,59513.0,135.0,16.0,130733.0,129877.0,141376.0,142671.0,143242.0,68779.0,74469.0,84919.0,80861.0,88452.0,263.0,286.0,6.4,6.9,234.0,214.0,5.7,5.2,244.0,233.0,6.0,5.7,163.0,200.0,4.1,5.1,171.0,183.0,4.4,4.7,,,,,
Dobong-gu,11882.0,836.0,11046.0,11936.0,843.0,11093.0,11944.0,889.0,11055.0,11784.0,888.0,10896.0,11675.0,873.0,10802.0,,,157.0,17.0,,,152.0,19.0,31610.0,66829.0,166.0,19.0,31304.0,65290.0,162.0,19.0,29071.0,60384.0,162.0,19.0,126940.0,125001.0,136770.0,136288.0,137261.0,72392.0,74335.0,79473.0,83091.0,84192.0,207.0,223.0,6.6,7.1,194.0,172.0,6.2,5.5,166.0,173.0,5.4,5.6,130.0,127.0,4.2,4.1,137.0,146.0,4.5,4.8,,,,,
Nowon-gu,18324.0,1603.0,16721.0,18488.0,1659.0,16829.0,18485.0,1723.0,16762.0,18214.0,1690.0,16524.0,17971.0,1668.0,16303.0,,,151.0,17.0,,,146.0,18.0,27433.0,67155.0,159.0,19.0,26050.0,65260.0,153.0,19.0,25820.0,63734.0,153.0,20.0,197844.0,201021.0,219193.0,213477.0,216058.0,82259.0,87424.0,94051.0,102261.0,105277.0,241.0,238.0,5.0,5.0,250.0,234.0,5.2,4.9,214.0,225.0,4.6,4.8,196.0,203.0,4.3,4.4,207.0,224.0,4.5,4.9,,,,,
Eunpyeong-gu,18228.0,1299.0,16929.0,18281.0,1373.0,16908.0,18620.0,1435.0,17185.0,18329.0,1416.0,16913.0,18078.0,1410.0,16668.0,,,140.0,14.0,,,138.0,15.0,38650.0,65343.0,157.0,16.0,38554.0,65330.0,154.0,17.0,36578.0,62480.0,155.0,17.0,177908.0,178973.0,201856.0,201710.0,204752.0,75797.0,79611.0,86984.0,87871.0,92886.0,294.0,303.0,6.4,6.6,261.0,255.0,5.7,5.6,287.0,290.0,6.2,6.2,218.0,241.0,4.8,5.3,219.0,236.0,4.7,5.1,,,,,
Seodaemun-gu,15007.0,1194.0,13813.0,15142.0,1295.0,13847.0,15201.0,1341.0,13860.0,14894.0,1311.0,13583.0,14776.0,1311.0,13465.0,,,164.0,38.0,,,153.0,41.0,48106.0,92334.0,182.0,42.0,55549.0,99580.0,177.0,43.0,52158.0,96447.0,178.0,44.0,119774.0,118320.0,137107.0,136054.0,137284.0,95855.0,93601.0,101260.0,112836.0,106692.0,242.0,220.0,5.2,4.7,248.0,224.0,5.3,4.8,197.0,208.0,4.3,4.5,203.0,202.0,4.5,4.4,211.0,200.0,4.6,4.3,,,,,
Mapo-gu,25764.0,2017.0,23747.0,26601.0,2126.0,24475.0,27464.0,2230.0,25234.0,27506.0,2190.0,25316.0,27504.0,2118.0,25386.0,,,138.0,83.0,,,133.0,85.0,46141.0,90031.0,154.0,90.0,44878.0,88629.0,151.0,90.0,43996.0,86795.0,151.0,91.0,151068.0,148881.0,169286.0,169131.0,170229.0,107943.0,110895.0,119044.0,127035.0,119977.0,564.0,474.0,6.7,5.6,584.0,465.0,6.7,5.4,611.0,502.0,6.8,5.6,486.0,500.0,5.4,5.5,468.0,463.0,5.1,5.1,,,,,
Yangcheon-gu,18984.0,1419.0,17565.0,18931.0,1466.0,17465.0,18889.0,1508.0,17381.0,18409.0,1450.0,16959.0,18092.0,1422.0,16670.0,,,248.0,37.0,,,240.0,39.0,48180.0,101233.0,265.0,39.0,46851.0,98671.0,257.0,40.0,45275.0,95588.0,257.0,40.0,161853.0,161214.0,176600.0,173416.0,174836.0,89428.0,89882.0,88483.0,93040.0,98297.0,253.0,254.0,5.8,5.8,244.0,251.0,5.7,5.8,227.0,226.0,5.4,5.4,169.0,198.0,4.2,4.9,174.0,155.0,4.3,3.9,,,,,
Gangseo-gu,23670.0,1866.0,21804.0,24046.0,1955.0,22091.0,24624.0,2126.0,22498.0,24992.0,2279.0,22713.0,24987.0,2253.0,22734.0,,,122.0,31.0,,,121.0,40.0,27337.0,56417.0,139.0,41.0,27184.0,56347.0,139.0,45.0,25879.0,53863.0,138.0,47.0,215821.0,213797.0,249309.0,254816.0,256450.0,78935.0,82933.0,90221.0,102124.0,106206.0,377.0,335.0,6.6,5.9,374.0,330.0,6.5,5.7,405.0,313.0,6.8,5.3,320.0,340.0,5.2,5.5,327.0,322.0,5.2,5.1,,,,,
Guro-gu,22001.0,1520.0,20481.0,22510.0,1578.0,20932.0,22811.0,1621.0,21190.0,22395.0,1617.0,20778.0,21878.0,1575.0,20303.0,,,168.0,81.0,,,157.0,84.0,37043.0,88717.0,207.0,86.0,37281.0,89394.0,200.0,86.0,36050.0,87664.0,200.0,87.0,136073.0,133188.0,171905.0,169501.0,170708.0,86598.0,89256.0,91290.0,95567.0,103372.0,260.0,260.0,4.9,4.9,326.0,284.0,6.2,5.4,263.0,259.0,5.0,4.9,204.0,259.0,4.0,5.0,232.0,269.0,4.5,5.3,,,,,
Geumcheon-gu,15164.0,987.0,14177.0,15410.0,1033.0,14377.0,15676.0,1052.0,14624.0,15320.0,1054.0,14266.0,15088.0,1073.0,14015.0,,,173.0,140.0,,,167.0,144.0,30177.0,81110.0,187.0,146.0,31085.0,81157.0,181.0,145.0,30164.0,78800.0,183.0,148.0,94396.0,95264.0,105553.0,104842.0,106307.0,80528.0,75675.0,80625.0,81736.0,93200.0,208.0,210.0,5.6,5.6,211.0,195.0,5.7,5.3,169.0,176.0,4.7,4.9,155.0,164.0,4.4,4.7,149.0,161.0,4.2,4.5,,,,,
Yeongdeungpo-gu,27365.0,1852.0,25513.0,27579.0,1929.0,25650.0,27481.0,2010.0,25471.0,26968.0,2007.0,24961.0,26487.0,1928.0,24559.0,,,172.0,205.0,,,165.0,217.0,45253.0,96148.0,171.0,217.0,46158.0,96470.0,169.0,225.0,44083.0,92510.0,169.0,228.0,161685.0,159507.0,165957.0,167158.0,168468.0,76614.0,80045.0,96082.0,92224.0,96914.0,393.0,408.0,5.0,5.2,460.0,384.0,5.9,4.9,391.0,406.0,5.1,5.3,267.0,321.0,3.5,4.3,300.0,326.0,4.0,4.3,,,,,
Action Zone,16183.0,1337.0,14846.0,16188.0,1378.0,14810.0,16334.0,1431.0,14903.0,16019.0,1453.0,14566.0,15814.0,1425.0,14389.0,,,208.0,43.0,,,198.0,45.0,50442.0,110252.0,229.0,47.0,49916.0,109806.0,224.0,41.0,48070.0,105677.0,224.0,41.0,153575.0,151339.0,173238.0,173658.0,175301.0,90315.0,105549.0,100592.0,109984.0,110114.0,219.0,212.0,5.0,4.9,249.0,215.0,5.7,5.0,216.0,212.0,5.0,4.9,164.0,174.0,3.8,4.0,173.0,196.0,4.0,4.5,,,,,
Gwanak-gu,20376.0,1646.0,18730.0,20411.0,1733.0,18678.0,20374.0,1781.0,18593.0,20003.0,1747.0,18256.0,19608.0,1691.0,17917.0,,,168.0,21.0,,,165.0,22.0,44133.0,77196.0,170.0,23.0,44161.0,77117.0,169.0,23.0,42218.0,73865.0,169.0,23.0,242036.0,244087.0,253843.0,258579.0,261563.0,91983.0,89494.0,98864.0,98901.0,107251.0,358.0,338.0,6.1,5.7,367.0,362.0,6.3,6.2,355.0,337.0,6.1,5.8,274.0,294.0,4.8,5.1,268.0,266.0,4.7,4.6,,,,,
Seocho-gu,36299.0,2291.0,34008.0,36631.0,2344.0,34287.0,37019.0,2353.0,34666.0,36440.0,2320.0,34120.0,35644.0,2219.0,33425.0,,,80.0,100.0,,,78.0,102.0,21405.0,55375.0,93.0,104.0,21040.0,54089.0,91.0,103.0,20485.0,52877.0,91.0,106.0,147431.0,148192.0,173327.0,172177.0,172376.0,97109.0,105585.0,106737.0,117229.0,112694.0,405.0,405.0,4.8,4.8,402.0,390.0,4.9,4.7,366.0,342.0,4.5,4.2,254.0,316.0,3.2,4.0,283.0,318.0,3.6,4.1,,,,,
Gangnam-gu,53775.0,3795.0,49980.0,54264.0,3891.0,50373.0,55290.0,3923.0,51367.0,54466.0,3845.0,50621.0,53871.0,3737.0,50134.0,,,137.0,202.0,,,131.0,202.0,36442.0,98332.0,147.0,204.0,35396.0,95171.0,141.0,211.0,35338.0,94856.0,142.0,214.0,215676.0,209217.0,233753.0,226589.0,228079.0,113218.0,118516.0,127426.0,127658.0,132143.0,721.0,712.0,5.3,5.3,688.0,693.0,5.2,5.2,697.0,691.0,5.3,5.3,555.0,627.0,4.3,4.9,602.0,574.0,4.6,4.4,,,,,
Songpa-gu,35483.0,2500.0,32983.0,35753.0,2639.0,33114.0,36771.0,2796.0,33975.0,36399.0,2786.0,33613.0,36026.0,2719.0,33307.0,,,181.0,71.0,,,175.0,75.0,36317.0,94818.0,195.0,84.0,36402.0,94231.0,197.0,92.0,36396.0,94627.0,198.0,95.0,241355.0,265541.0,258544.0,265484.0,268569.0,94875.0,94261.0,99365.0,105018.0,117495.0,416.0,423.0,5.4,5.5,483.0,428.0,6.3,5.5,504.0,422.0,6.3,5.3,347.0,380.0,4.3,4.7,435.0,381.0,5.3,4.6,,,,,
Gangdong-gu,21638.0,1673.0,19965.0,21677.0,1761.0,19916.0,21610.0,1781.0,19829.0,21142.0,1738.0,19404.0,20665.0,1689.0,18976.0,,,166.0,32.0,,,154.0,33.0,44280.0,86694.0,176.0,34.0,43479.0,85637.0,168.0,37.0,42812.0,83750.0,168.0,41.0,166102.0,158010.0,180088.0,176110.0,176676.0,80985.0,86459.0,85269.0,88441.0,89901.0,316.0,347.0,5.6,6.2,311.0,294.0,5.6,5.3,290.0,307.0,5.3,5.6,209.0,259.0,4.0,4.9,209.0,240.0,3.9,4.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
